ID	Species	DistributionName	Parameter1Name	Parameter1Value	Parameter2Name	Parameter2Value	Parameter3Name	Parameter3Value	Loglikelihood	AIC	Loglikelihood_Empirical	AIC_Empirical	MaxNestSize
1478	CaspianTern6	PoissonRectangular	a	2.216	b	2.216			-22.016	44.032	-3.520	11.039	3
1479	CaspianTern7	PoissonRectangular	a	2.376	b	2.377			-99.319	198.638	-5.034	14.068	3
1480	CaspianTern8	PoissonRectangular	a	2.181	b	2.181			-46.713	93.426	-4.285	12.571	3
1481	CaspianTern9	PoissonRectangular	a	1.736	b	1.736			-190.260	380.520	-4.883	13.766	3
1482	CaspianTern10	PoissonRectangular	a	1.957	b	1.957			-430.280	860.560	-6.022	16.044	3
1483	CaspianTern11	PoissonRectangular	a	1.965	b	1.965			-344.160	688.320	-5.900	15.801	3
1484	CaspianTern12	PoissonRectangular	a	1.936	b	1.936			-172.940	345.880	-6.128	16.256	3
1485	CaspianTern13	PoissonRectangular	a	2.000	b	2.000			-32.671	65.342	0.000	2.000	2
1486	CaspianTern14	PoissonRectangular	a	1.963	b	1.963			-57.054	114.108	-4.979	13.959	3
1487	CaspianTern15	PoissonRectangular	a	2.460	b	2.461			-615.650	1231.300	-6.714	17.428	3
1488	CaspianTern16	PoissonRectangular	a	2.456	b	2.456			-730.200	1460.400	-6.743	17.485	3
1489	GreatCormorant	PoissonRectangular	a	4.438	b	4.438			-74.942	149.884	-7.313	24.626	6
1490	DoubleCrestedCormorant1	PoissonRectangular	a	3.614	b	3.614			-35.558	71.116	-6.380	20.761	5
1491	DoubleCrestedCormorant2	PoissonRectangular	a	3.174	b	3.174			-68.785	137.570	-7.609	23.218	5
1492	DoubleCrestedCormorant4	PoissonRectangular	a	3.818	b	3.818			-25.991	51.982	-4.544	17.088	5
1493	DoubleCrestedCormorant7	PoissonRectangular	a	3.027	b	3.027			-49.730	99.460	-7.559	23.118	5
1494	DoubleCrestedCormorant8	PoissonRectangular	a	2.924	b	2.924			-33.583	67.166	-7.191	22.382	5
1495	DoubleCrestedCormorant9	PoissonRectangular	a	2.855	b	2.855			-24.293	48.586	-7.091	22.182	5
1496	DoubleCrestedCormorant10	PoissonRectangular	a	3.077	b	3.077			-29.275	58.550	-6.835	21.670	5
1497	EaredGrebe	PoissonRectangular	a	3.370	b	3.370			-21.924	43.848	-3.113	12.226	4
1498	HouseWren1	PoissonRectangular	a	6.809	b	6.809			-127.960	255.920	-8.619	33.238	9
1499	HouseWren2	PoissonRectangular	a	5.940	b	5.941			-117.250	234.500	-8.329	30.658	8
1500	HouseWren3	PoissonRectangular	a	7.091	b	-0.001			-288.390	576.780	-9.498	34.996	9
1501	HouseWren4	PoissonRectangular	a	5.925	b	5.925			-118.240	236.480	-9.676	33.352	8
1502	HouseWren5	PoissonRectangular	a	6.896	b	0.000			-310.350	620.700	-7.918	31.835	9
1503	HouseWren6	PoissonRectangular	a	5.464	b	5.464			-95.488	190.976	-8.765	29.530	7
1504	HouseWren7	PoissonRectangular	a	6.130	b	6.130			-124.070	248.140	-9.763	33.526	8
1505	NorthernHarrier1	PoissonRectangular	a	4.444	b	4.445			-14.818	29.636	-7.673	29.345	8
1506	PrairieFalcon1	PoissonRectangular	a	4.300	b	4.302			-22.470	44.940	-5.332	20.664	6
1507	PrairieFalcon2	PoissonRectangular	a	4.526	b	4.526			-30.174	60.348	-5.829	21.658	6
1508	Redwingblackbird1	PoissonRectangular	a	3.496	b	3.496			-85.344	170.688	-5.794	19.587	5
1509	Redwingblackbird2	PoissonRectangular	a	3.321	b	3.321			-69.726	139.452	-5.644	19.288	5
1510	SnowyEgret	PoissonRectangular	a	3.941	b	3.941			-81.521	163.042	-5.858	19.716	5
1511	CattleEgret	PoissonRectangular	a	3.506	b	3.506			-51.591	103.182	-7.631	25.262	6
1512	LittleBlueHeron	PoissonRectangular	a	4.690	b	4.690			-44.533	89.066	-5.381	20.763	6
1513	TricoloredHeron1	PoissonRectangular	a	4.194	b	4.195			-29.984	59.968	-4.415	18.830	6
1514	TricoloredHeron2	PoissonRectangular	a	2.980	b	2.980			-60.255	120.510	-5.570	19.141	5
1515	WillowPtarmigan	PoissonRectangular	a	10.484	b	0.000			-56.511	113.022	-7.236	38.471	13
1516	YellowWarbler1	PoissonRectangular	a	4.630	b	4.630			-114.440	228.880	-5.344	20.688	6
1517	Redwingblackbird3	PoissonRectangular	a	4.168	b	4.168			-118.840	237.680	-6.252	22.505	6
1518	YellowWarbler2	PoissonRectangular	a	4.485	b	4.485			-33.096	66.192	-2.949	13.898	5
1519	YellowWarbler3	PoissonRectangular	a	4.481	b	4.481			-55.243	110.486	-2.205	12.411	5
1520	YellowWarbler4	PoissonRectangular	a	4.441	b	4.441			-52.958	105.916	-3.828	15.656	5
1521	YellowWarbler5	PoissonRectangular	a	4.551	b	4.551			-50.139	100.278	-3.142	14.285	5
1522	YellowWarbler6	PoissonRectangular	a	4.453	b	4.455			-70.342	140.684	-3.978	15.957	5
1523	YellowWarbler7	PoissonRectangular	a	4.392	b	4.392			-91.988	183.976	-4.228	16.457	5
1524	YellowWarbler8	PoissonRectangular	a	4.409	b	4.409			-121.850	243.700	-4.539	17.077	5
1525	YellowWarbler9	PoissonRectangular	a	4.486	b	4.486			-158.360	316.720	-5.904	19.808	5
1526	YellowWarbler10	PoissonRectangular	a	4.368	b	4.368			-104.670	209.340	-4.637	17.274	5
1527	YellowWarbler11	PoissonRectangular	a	4.590	b	4.590			-180.000	360.000	-5.937	19.873	5
1528	BarnSwallow2	PoissonRectangular	a	4.306	b	4.306			-23.992	47.984	-5.979	21.958	6
1529	BarnSwallow3	PoissonRectangular	a	4.581	b	4.582			-25.921	51.842	-7.318	24.637	6
1530	BarnSwallow4	PoissonRectangular	a	4.853	b	4.853			-27.937	55.874	-5.482	20.964	6
1531	WoodStork1	PoissonRectangular	a	3.227	b	3.227			-61.240	122.480	-4.752	15.504	4
1532	WoodStork2	PoissonRectangular	a	3.044	b	3.045			-42.203	84.406	-4.155	16.309	5
1533	WoodStork3	PoissonRectangular	a	2.677	b	2.677			-54.429	108.858	-3.613	11.226	3
1534	WoodStork4	PoissonRectangular	a	2.732	b	2.732			-38.952	77.904	-1.970	7.940	3
1535	WoodStork5	PoissonRectangular	a	2.706	b	2.706			-59.406	118.812	-3.464	10.928	3
1536	WoodStork6	PoissonRectangular	a	2.667	b	2.667			-49.868	99.736	-4.731	15.463	4
1537	WoodStork7	PoissonRectangular	a	2.881	b	2.881			-77.185	154.370	-3.757	13.514	4
1538	WoodStork8	PoissonRectangular	a	2.960	b	2.960			-28.840	57.680	-2.243	10.487	4
1539	WoodStork9	PoissonRectangular	a	2.545	b	2.546			-14.637	29.274	-3.684	13.368	4
1540	WoodStork10	PoissonRectangular	a	3.083	b	3.083			-45.802	91.604	-1.453	8.905	4
1541	WoodStork11	PoissonRectangular	a	2.945	b	2.946			-52.092	104.184	-3.425	12.851	4
1542	WoodStork12	PoissonRectangular	a	2.872	b	2.872			-37.723	75.446	-4.011	14.022	4
1543	WoodStork13	PoissonRectangular	a	3.298	b	3.298			-63.525	127.050	-4.178	14.356	4
1544	WoodStork14	PoissonRectangular	a	3.076	b	3.076			-94.792	189.584	-5.016	16.031	4
1545	WoodStork15	PoissonRectangular	a	3.096	b	3.097			-62.147	124.294	-4.242	14.484	4
1546	WoodStork16	PoissonRectangular	a	2.826	b	2.826			-21.262	42.524	-2.590	11.181	4
1547	WoodStork17	PoissonRectangular	a	3.118	b	3.118			-75.127	150.254	-5.585	17.170	4
1548	WoodStork18	PoissonRectangular	a	3.056	b	3.056			-111.880	223.760	-3.785	13.570	4
1549	WoodStork19	PoissonRectangular	a	2.981	b	2.981			-43.105	86.210	-4.580	15.159	4
1550	WoodStork20	PoissonRectangular	a	3.256	b	3.257			-33.430	66.860	-3.254	12.508	4
1551	WoodStork21	PoissonRectangular	a	2.917	b	2.917			-33.774	67.548	-3.795	13.591	4
1552	WoodStork22	PoissonRectangular	a	3.094	b	3.094			-45.657	91.314	-4.960	15.921	4
1553	WoodStork23	PoissonRectangular	a	2.927	b	2.927			-46.828	93.656	-4.510	15.019	4
1554	WoodStork24	PoissonRectangular	a	2.948	b	2.948			-66.961	133.922	-4.806	15.612	4
1555	WoodStork25	PoissonRectangular	a	3.235	b	3.235			-27.979	55.958	-4.082	16.163	5
1556	WoodStork26	PoissonRectangular	a	2.882	b	2.882			-42.527	85.054	-3.552	13.103	4
1557	WoodStork27	PoissonRectangular	a	3.020	b	3.020			-48.456	96.912	-3.272	12.544	4
1558	WoodStork28	PoissonRectangular	a	2.750	b	2.750			-63.945	127.890	-3.233	12.467	4
1559	WoodStork29	PoissonRectangular	a	2.911	b	2.911			-45.953	91.906	-3.856	13.711	4
1560	WoodStork30	PoissonRectangular	a	2.936	b	2.936			-82.703	165.406	-3.389	12.778	4
1561	WoodStork31	PoissonRectangular	a	2.890	b	2.890			-80.172	160.344	-3.838	13.676	4
1562	NorthernCardinal1	PoissonRectangular	a	2.485	b	2.485			-16.862	33.724	-4.899	15.798	4
1563	NorthernCardinal2	PoissonRectangular	a	2.538	b	2.539			-17.205	34.410	-4.132	14.265	4
1564	NorthernCardinal3	PoissonRectangular	a	2.196	b	2.231			-12.225	24.450	-4.341	14.683	4
1565	NorthernCardinal4	PoissonRectangular	a	2.343	b	2.343			-20.866	41.732	-3.523	11.046	3
1566	NorthernCardinal5	PoissonRectangular	a	2.479	b	2.479			-27.871	55.742	-4.787	15.574	4
1567	NorthernCardinal6	PoissonRectangular	a	2.811	b	2.811			-31.125	62.250	-3.158	12.316	4
1568	FloridaScrubJay1	PoissonRectangular	a	3.407	b	3.407			-23.748	47.496	-2.843	11.686	4
1569	FloridaScrubJay2	PoissonRectangular	a	3.220	b	3.220			-32.106	64.212	-4.367	16.733	5
1570	FloridaScrubJay3	PoissonRectangular	a	3.361	b	3.361			-26.411	52.822	-4.471	16.943	5
1571	FloridaScrubJay4	PoissonRectangular	a	3.585	b	3.585			-27.249	54.498	-4.988	17.975	5
1572	FloridaScrubJay5	PoissonRectangular	a	3.725	b	3.725			-31.957	63.914	-3.591	15.182	5
1573	FloridaScrubJay6	PoissonRectangular	a	3.311	b	3.311			-33.557	67.114	-4.502	17.003	5
1574	FloridaScrubJay7	PoissonRectangular	a	3.182	b	3.182			-23.092	46.184	-3.536	13.073	4
1575	FloridaScrubJay8	PoissonRectangular	a	3.260	b	3.260			-36.689	73.378	-3.802	13.605	4
1576	FloridaScrubJay9	PoissonRectangular	a	3.340	b	3.340			-31.377	62.754	-4.936	17.872	5
1577	SagebrushLizard	PoissonRectangular	a	3.877	b	3.877			-23.478	46.956	-8.937	29.874	7
1578	NorthernSnappingTurtle	PoissonRectangular	a	10.083	b	10.083			-22.761	45.522	-11.648	53.296	16
1579	Ouachitamapturtle	PoissonRectangular	a	11.324	b	0.000			-54.332	108.664	-11.121	54.243	17
1580	Insularpitviper1	PoissonRectangular	a	4.541	b	4.541			-17.257	34.514	-9.401	32.803	8
1581	Insularpitviper2	PoissonRectangular	a	3.613	b	3.613			-11.618	23.236	-8.417	28.834	7
1582	Westernterrestrialgartnersnake	PoissonRectangular	a	13.219	b	0.000			-54.257	108.514	-15.770	71.541	21
1583	Redearedslider1	PoissonRectangular	a	13.746	b	13.746			-36.371	72.742	-18.657	89.314	27
1584	Redearedslider2	PoissonRectangular	a	13.887	b	15.746			-48.934	97.868	-31.050	112.099	26
1585	Redearedslider3	PoissonRectangular	a	13.551	b	13.552			-42.834	85.668	-31.506	113.011	26
1586	Redearedslider4	PoissonRectangular	a	13.788	b	13.788			-40.516	81.032	-24.893	99.786	26
1587	Redearedslider5	PoissonRectangular	a	14.142	b	14.143			-58.698	117.396	-39.579	137.158	30
1588	Redearedslider6	PoissonRectangular	a	13.571	b	13.571			-58.972	117.944	-41.590	135.179	27
1589	Redearedslider7	PoissonRectangular	a	14.043	b	0.000			-102.970	205.940	-18.887	77.773	21
1590	Redearedslider8	PoissonRectangular	a	11.580	b	15.509			-62.258	124.516	-43.313	130.626	23
1591	Redearedslider9	PoissonRectangular	a	13.232	b	13.233			-54.124	108.248	-40.833	125.667	23
1592	Redearedslider10	PoissonRectangular	a	12.747	b	12.747			-29.523	59.046	-20.900	81.799	21
1593	Redearedslider11	PoissonRectangular	a	12.441	b	12.441			-25.674	51.348	-12.534	63.068	20
1594	Redearedslider12	PoissonRectangular	a	12.396	b	12.396			-27.187	54.374	-17.115	76.229	22
1595	Redearedslider13	PoissonRectangular	a	13.500	b	13.500			-28.620	57.240	-20.777	83.554	22
1596	Redearedslider14	PoissonRectangular	a	12.547	b	12.547			-27.469	54.938	-16.004	70.009	20
1597	Redearedslider15	PoissonRectangular	a	14.213	b	0.000			-135.740	271.480	-20.749	83.497	22
1598	Redearedslider16	PoissonRectangular	a	12.979	b	12.979			-35.275	70.550	-22.599	89.198	23
1599	Redearedslider17	PoissonRectangular	a	12.263	b	0.004			-265.420	530.840	-27.180	90.360	19
1600	Redearedslider18	PoissonRectangular	a	12.836	b	12.836			-43.794	87.588	-24.185	88.369	21
1601	Redearedslider19	PoissonRectangular	a	11.629	b	15.596			-31.928	63.856	-22.645	87.290	22
1602	Redearedslider20	PoissonRectangular	a	12.070	b	0.000			-81.042	162.084	-16.197	66.394	18
1603	Redearedslider21	PoissonRectangular	a	12.329	b	0.000			-105.960	211.920	-18.597	71.195	18
1604	Redearedslider22	PoissonRectangular	a	13.089	b	13.089			-35.158	70.316	-24.406	92.812	23
1605	Walllizard1	PoissonRectangular	a	5.357	b	13.437			-25.918	51.836	-17.412	66.824	17
1606	IguanidLizard	PoissonRectangular	a	2.640	b	2.640			-17.589	35.178	-3.069	12.138	4
1607	Sixlinedracerunner1	PoissonRectangular	a	2.662	b	9.234			-26.425	52.850	-13.541	51.081	13
1608	Sixlinedracerunner2	PoissonRectangular	a	3.689	b	3.689			-18.088	36.176	-8.052	26.104	6
1609	Sixlinedracerunner3	PoissonRectangular	a	2.550	b	2.550			-11.615	23.230	-3.982	13.964	4
1610	Sixlinedracerunner4	PoissonRectangular	a	3.042	b	3.042			-28.638	57.276	-7.059	22.119	5
1611	Sixlinedracerunner5	PoissonRectangular	a	3.542	b	3.542			-16.078	32.156	-4.953	19.905	6
1612	SnowshoeHare	PoissonRectangular	a	2.719	b	2.719			-15.406	30.812	-4.989	15.979	4
1613	Mearnscottontailrabbit	PoissonRectangular	a	5.704	b	5.704			-15.656	31.312	-7.859	31.719	9
1614	MaskedShrew	PoissonRectangular	a	7.906	b	7.906			-19.873	39.746	-10.049	42.099	12
1615	Deermouse1	PoissonRectangular	a	4.990	b	4.990			-58.883	117.766	-7.829	27.659	7
1616	AfricanLion	PoissonRectangular	a	2.432	b	2.432			-55.217	110.434	-7.941	21.882	4
1617	CollaredPeccary	PoissonRectangular	a	1.500	b	1.500			-13.141	26.282	-3.159	10.318	3
1618	Whitefootedmouse	PoissonRectangular	a	4.263	b	4.263			-41.215	82.430	-12.058	36.115	7
1619	Wildmuskrat	PoissonRectangular	a	7.151	b	7.152			-39.377	78.754	-14.285	50.569	12
1620	Molerat	PoissonRectangular	a	1.512	b	1.512			-38.261	76.522	-4.980	15.960	4
1621	Prairievoles	PoissonRectangular	a	3.873	b	3.873			-41.549	83.098	-10.345	32.689	7
1622	Housemouse	PoissonRectangular	a	5.830	b	5.831			-26.157	52.314	-14.346	50.692	12
1623	Woodlandmouse	PoissonRectangular	a	4.435	b	4.435			-15.182	30.364	-5.988	23.976	7
1624	Westernharvestmouse	PoissonRectangular	a	3.800	b	3.800			-16.557	33.114	-5.871	21.742	6
1625	Deermouse2	PoissonRectangular	a	4.310	b	4.310			-25.393	50.786	-4.069	18.137	6
1626	Deermouse3	PoissonRectangular	a	4.682	b	4.682			-13.051	26.102	-6.439	24.878	7
1627	Deermouse4	PoissonRectangular	a	5.576	b	5.576			-17.490	34.980	-9.160	34.321	9
1628	BrownBandicoot	PoissonRectangular	a	3.071	b	3.072			-17.382	34.764	-8.299	26.598	6
1629	YellowMudTurtle1	PoissonRectangular	a	6.328	b	6.328			-94.943	189.886	-11.301	38.602	9
1630	YellowMudTurtle2	PoissonRectangular	a	5.868	b	5.869			-24.962	49.924	-7.239	30.478	9
1631	YellowMudTurtle3	PoissonRectangular	a	5.962	b	5.963			-117.160	234.320	-14.669	45.337	9
1632	YellowMudTurtle4	PoissonRectangular	a	5.644	b	5.644			-117.070	234.140	-11.495	36.990	8
1633	EasternPaintedTurtle1	PoissonRectangular	a	14.654	b	0.000			-46.959	93.918	-11.754	61.507	20
1634	EasternPaintedTurtle2	PoissonRectangular	a	13.040	b	0.000			-50.194	100.388	-6.933	41.866	15
1635	Eastern_Painted_Turtle3	PoissonRectangular	a	8.444	b	8.445			-16.460	32.920	-10.133	46.267	14
1636	Lesser_Scaup	PoissonRectangular	a	9.696	b	-0.001			-86.107	172.214	-10.848	47.696	14
1637	Mute_Swan	PoissonRectangular	a	4.903	b	4.903			-16.527	33.054	-9.393	36.786	10
1638	GoldenEagle9	PoissonRectangular	a	1.750	b	1.750			-11.007	22.014	-2.915	9.830	3
